,airline,source,destination,departure_time,arrival_time,duration,total_stops,price,day_of_journey,month_of_journey
0,Indigo,Banglore,Delhi,22:20:00,01:10:00,170,0,3897,24,3
1,Air_India,Kolkata,Banglore,05:50:00,13:15:00,445,2,7662,1,5
2,Jet_Airways,Delhi,Cochin,09:25:00,04:25:00,1140,2,13882,9,6
3,Indigo,Kolkata,Banglore,18:05:00,23:30:00,325,1,6218,12,5
4,Indigo,Banglore,Delhi,16:50:00,21:35:00,285,1,13302,1,3
5,Spicejet,Kolkata,Banglore,09:00:00,11:25:00,145,0,3873,24,6
6,Jet_Airways,Banglore,Delhi,18:55:00,10:25:00,930,1,11087,12,3
7,Jet_Airways,Banglore,Delhi,08:00:00,05:05:00,1265,1,22270,1,3
8,Jet_Airways,Banglore,Delhi,08:55:00,10:25:00,1530,1,11087,12,3
9,Multiple_Carriers,Delhi,Cochin,11:25:00,19:15:00,470,1,8625,27,5
10,Air_India,Delhi,Cochin,09:45:00,23:00:00,795,1,8907,1,6
11,Indigo,Kolkata,Banglore,20:20:00,22:55:00,155,0,4174,18,4
12,Air_India,Chennai,Kolkata,11:40:00,13:55:00,135,0,4667,24,6
13,Jet_Airways,Kolkata,Banglore,21:10:00,09:20:00,730,1,9663,9,5
14,Indigo,Kolkata,Banglore,17:15:00,19:50:00,155,0,4804,24,4
15,Air_India,Delhi,Cochin,16:40:00,19:15:00,1595,2,14011,3,3
16,Spicejet,Delhi,Cochin,08:45:00,13:15:00,270,1,5830,15,4
17,Jet_Airways,Delhi,Cochin,14:00:00,12:35:00,1355,1,10262,12,6
18,Air_India,Delhi,Cochin,20:15:00,19:15:00,1380,2,13381,12,6
19,Jet_Airways,Delhi,Cochin,16:00:00,12:35:00,1235,1,12898,27,5
20,Goair,Delhi,Cochin,14:10:00,19:20:00,310,1,19495,6,3
21,Air_India,Banglore,Delhi,22:00:00,13:20:00,920,1,6955,21,3
22,Indigo,Banglore,Delhi,04:00:00,06:50:00,170,0,3943,3,4
23,Indigo,Banglore,Delhi,18:55:00,21:50:00,175,0,4823,1,5
24,Jet_Airways,Kolkata,Banglore,18:55:00,08:15:00,800,1,7757,6,5
25,Jet_Airways,Delhi,Cochin,21:25:00,12:35:00,910,2,13292,9,6
26,Indigo,Delhi,Cochin,21:50:00,03:35:00,345,1,8238,1,6
27,Goair,Delhi,Cochin,07:00:00,12:55:00,355,1,7682,15,5
28,Vistara,Banglore,Delhi,09:45:00,12:35:00,170,0,4668,18,6
29,Vistara,Chennai,Kolkata,07:05:00,09:20:00,135,0,3687,15,6
30,Vistara,Chennai,Kolkata,07:05:00,09:20:00,135,0,3687,18,6
31,Air_India,Kolkata,Banglore,09:50:00,23:15:00,805,2,13227,1,5
32,Indigo,Banglore,Delhi,04:00:00,06:50:00,170,0,4423,6,4
33,Jet_Airways,Delhi,Cochin,14:35:00,12:35:00,1320,2,10919,15,6
